Student_ID,Gender,Age,Degree,CGPA,Internships_Count,Projects_Count,Certifications_Count,Technical_Skills_Score_100,Communication_Skills_Score_100,Aptitude_Test_Score_100,Placement_Offer,Salary_Offered_USD
1,Male,19,Business,2.56,3.0,8.0,0,64.0,42.0,57,Yes,8047.08
2,Female,27,Engineering,3.66,0.0,5.0,2,78.0,54.0,40,Yes,
3,Male,26,Data Science,3.73,0.0,5.0,1,61.0,54.0,49,No,11791.75
4,Male,18,Computer Science,2.21,2.0,8.0,5,66.0,,72,Yes,13946.28
4,Male,18,Computer Science,2.21,2.0,8.0,5,66.0,,72,Yes,13946.28
5,Male,20,Business,2.59,3.0,9.0,2,69.0,,53,No,
6,Male,21,Computer Science,3.04,2.0,4.0,0,64.0,74.0,91,No,19631.72
7,Male,25,Data Science,2.42,,8.0,4,50.0,61.0,65,Yes,
8,Female,28,Data Science,2.48,4.0,8.0,2,,57.0,50,No,13036.97
9,Female,27,Engineering,3.02,0.0,3.0,4,49.0,,76,Yes,16192.47
10,Male,29,Data Science,3.01,2.0,4.0,2,,90.0,67,No,12022.49
11,Female,28,Arts,2.14,0.0,,1,92.0,78.0,78,Yes,17819.5
12,Female,20,Data Science,2.18,4.0,5.0,0,95.0,91.0,42,Yes,10923.5
13,Male,25,Data Science,3.75,4.0,6.0,3,59.0,58.0,88,Yes,4770.96
13,Male,25,Data Science,3.75,4.0,6.0,3,59.0,58.0,88,Yes,4770.96
14,Female,27,Business,2.42,2.0,,3,42.0,85.0,48,Yes,
15,Male,25,Engineering,2.97,3.0,2.0,5,92.0,79.0,71,No,10596.11
16,Female,19,Arts,2.93,0.0,,0,59.0,,92,Yes,10484.99
17,Male,28,Computer Science,3.19,2.0,2.0,0,47.0,93.0,56,No,18755.05
18,Female,22,Engineering,2.46,,5.0,2,79.0,94.0,73,Yes,
19,Female,28,Arts,3.49,0.0,2.0,4,74.0,86.0,94,Yes,
20,Male,29,Arts,2.6,1.0,,0,75.0,40.0,86,No,
20,Male,29,Arts,2.6,1.0,,0,75.0,40.0,86,No,
21,Male,25,Business,2.55,0.0,1.0,4,47.0,74.0,97,No,15116.57
22,Male,22,Business,3.7,3.0,6.0,3,66.0,,70,No,6889.4
23,Female,25,Arts,2.79,2.0,9.0,5,71.0,48.0,74,No,17820.39
24,Female,26,Computer Science,2.19,2.0,3.0,5,45.0,53.0,48,Yes,3127.2
25,Female,28,Computer Science,2.9,3.0,9.0,3,99.0,97.0,41,Yes,14979.79
25,Female,28,Computer Science,2.9,3.0,9.0,3,99.0,97.0,41,Yes,14979.79
26,Male,18,Computer Science,3.32,,2.0,0,72.0,54.0,49,Yes,7242.88
27,Female,20,Data Science,2.57,0.0,,2,,58.0,65,Yes,15396.65
27,Female,20,Data Science,2.57,0.0,,2,,58.0,65,Yes,15396.65
28,Male,25,Engineering,3.98,4.0,2.0,0,43.0,80.0,57,No,
29,Male,22,Data Science,2.99,0.0,3.0,1,57.0,86.0,87,No,18333.77
30,Male,21,Arts,2.68,,,4,70.0,63.0,88,No,4496.08
31,Male,25,Computer Science,3.8,3.0,3.0,2,80.0,82.0,70,No,11313.22
31,Male,25,Computer Science,3.8,3.0,3.0,2,80.0,82.0,70,No,11313.22
32,Female,21,Computer Science,3.57,4.0,6.0,5,90.0,89.0,55,Yes,13330.57
33,Female,25,Arts,2.96,,,2,61.0,71.0,65,Yes,17702.16
34,Female,18,Engineering,2.17,,5.0,2,,55.0,51,No,3260.97
34,Female,18,Engineering,2.17,,5.0,2,,55.0,51,No,3260.97
35,Male,25,Arts,3.37,,2.0,2,75.0,94.0,80,No,
36,Male,24,Arts,2.9,3.0,4.0,2,47.0,50.0,48,No,11103.91
36,Male,24,Arts,2.9,3.0,4.0,2,47.0,50.0,48,No,11103.91
37,Female,26,Computer Science,2.5,2.0,,1,,50.0,94,Yes,
38,Male,24,Computer Science,2.24,2.0,8.0,5,93.0,62.0,94,Yes,
39,Male,28,Engineering,3.98,4.0,9.0,2,,79.0,69,No,
40,Female,26,Business,2.11,0.0,2.0,3,92.0,82.0,65,No,11364.8
41,Male,18,Computer Science,2.64,0.0,9.0,3,40.0,,86,No,14681.45
42,Female,23,Business,3.32,3.0,7.0,4,43.0,,77,No,
43,Male,21,Computer Science,3.49,4.0,7.0,0,72.0,78.0,98,Yes,13320.95
44,Female,20,Engineering,3.91,,1.0,4,49.0,42.0,86,No,10405.9
45,Female,22,Data Science,2.88,2.0,,3,99.0,77.0,93,No,8891.29
46,Female,21,Computer Science,3.96,3.0,3.0,1,69.0,,89,Yes,15146.61
47,Male,21,Arts,2.54,0.0,4.0,5,45.0,79.0,97,Yes,12618.15
48,Male,27,Engineering,2.65,1.0,4.0,0,,63.0,48,Yes,4530.72
49,Male,25,Business,2.25,0.0,2.0,1,82.0,59.0,82,Yes,9592.81
50,Male,19,Computer Science,2.1,2.0,3.0,1,71.0,53.0,48,Yes,3623.01
50,Male,19,Computer Science,2.1,2.0,3.0,1,71.0,53.0,48,Yes,3623.01
51,Female,26,Data Science,2.25,,5.0,0,64.0,60.0,74,Yes,
51,Female,26,Data Science,2.25,,5.0,0,64.0,60.0,74,Yes,
52,Female,18,Data Science,2.0,3.0,3.0,3,86.0,60.0,50,Yes,18707.32
53,Male,19,Data Science,3.51,2.0,5.0,5,41.0,50.0,41,No,13697.39
